catalogue_az,catalogue_alt,obs_az,obs_alt,alt_diff,az_diff
321.943317,65.140715,322.79805,65.123063,-0.017651999999998225,0.8547330000000102
299.520591,61.034865,300.371422,61.022245,-0.012620000000005405,0.850830999999971
313.308741,51.468686,314.14722,51.451696,-0.01698999999999984,0.8384790000000066
290.584998,51.775686,291.424639,51.764533,-0.01115300000000019,0.8396410000000287
280.146706,40.100441,280.97786,40.091546,-0.008894999999995434,0.8311540000000264
272.666229,55.876512,273.508457,55.870228,-0.0062840000000008445,0.8422280000000342
282.334689,71.633793,283.210675,71.627263,-0.006529999999997926,0.8759859999999549
315.96632,70.498628,316.836077,70.4833,-0.015327999999996678,0.8697569999999928
327.191355,74.303826,328.071973,74.286601,-0.01722499999999627,0.8806180000000268
325.791913,68.479263,326.652732,68.461283,-0.017980000000008545,0.8608189999999922
349.392101,51.916037,350.223551,51.890989,-0.025048000000005288,0.8314499999999612
340.903866,33.459877,341.729083,33.436308,-0.02356900000000195,0.8252170000000092
333.059561,20.579539,333.882257,20.55874,-0.020799000000000234,0.8226960000000076
294.893625,19.550595,295.717277,19.539269,-0.011326000000000391,0.8236520000000382
311.519093,38.361013,312.349389,38.344154,-0.016858999999996627,0.8302959999999757
120.837811,80.745721,121.597158,80.738942,-0.00677900000000875,0.7593469999999911
100.285315,69.927691,101.073196,69.912803,-0.014887999999999124,0.7878809999999987
95.188037,46.92252,95.991852,46.903745,-0.018774999999997988,0.8038150000000002
109.863906,36.67405,110.670851,36.659356,-0.014693999999998653,0.8069449999999989
119.617841,54.261907,120.41746,54.250555,-0.01135200000000225,0.799619000000007
140.413273,45.624082,141.21833,45.61741,-0.006672000000001788,0.805057000000005
159.433651,38.62268,160.24304,38.619765,-0.0029150000000015552,0.8093890000000101
171.348061,54.101051,172.15574,54.100457,-0.0005939999999995393,0.8076790000000074
174.983677,35.494296,175.795285,35.493664,-0.0006319999999959691,0.8116080000000068
173.250622,18.389042,174.06525,18.389464,0.0004220000000003665,0.814627999999999
130.951346,26.90878,131.761881,26.900335,-0.008445000000001812,0.8105349999999873
147.133974,59.86667,147.933937,59.862601,-0.0040690000000012105,0.7999629999999911
157.268645,70.785055,158.06505,70.784575,-0.00047999999999603915,0.7964050000000213
113.7087,65.538831,114.499907,65.527086,-0.01174500000000478,0.791207
92.880655,41.228931,93.686865,41.209434,-0.019497000000001208,0.806209999999993
82.249012,32.075485,83.059016,32.05352,-0.021965000000001567,0.8100040000000064
73.6765,33.141458,74.487089,33.117406,-0.02405199999999752,0.8105889999999931
60.332273,54.085479,61.140592,54.059171,-0.02630800000000022,0.8083189999999973
45.667253,51.361138,46.480087,51.332927,-0.028210999999998876,0.8128339999999952
49.985765,23.985726,50.80003,23.958397,-0.02732899999999816,0.8142649999999989
26.754053,35.791594,27.570642,35.762436,-0.02915800000000246,0.8165890000000005
1.416684,39.628421,2.239528,39.601273,-0.027148000000003947,0.8228439999999999
18.539912,52.105577,19.361487,52.077144,-0.02843299999999971,0.8215749999999993
17.373875,61.250528,18.199959,61.222962,-0.0275660000000002,0.826083999999998
1.110432,72.476749,1.961796,72.452543,-0.0242059999999924,0.851364
31.524824,71.56461,32.350741,71.538311,-0.026299000000008732,0.8259170000000005
